[constructive_heuristic] best sol improved: score=15, dist=6.332637348207511, Solution(n=66, next=[21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=280, dist=24.920809626481887, Solution(n=66, next=[30, None, None, 11, 3, 4, 5, None, None, None, None, 12, 13, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=315, dist=27.74923675122808, Solution(n=66, next=[30, None, 11, 2, 3, 4, 5, None, None, None, None, 12, 13, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=350, dist=28.920809626481887, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, None, None, None, 11, 12, 13, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=385, dist=31.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, None, None, 11, 12, 13, 21, 7, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=410, dist=32.92080962648188, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, None, None, 11, 12, 13, 21, 15, 7, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=445, dist=35.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, None, 11, 12, 13, 21, 15, 8, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=470, dist=36.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, None, 11, 12, 13, 21, 15, 16, 8, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=505, dist=39.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 21, 15, 16, 9, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=540, dist=40.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 21, 15, 16, 17, 9, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=575, dist=43.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 17, 9, 11, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=600, dist=44.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 17, 9, 19, 11, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=635, dist=47.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 25, 9, 19, 11, None, 29, 14, None, None, 17, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=660, dist=48.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 19, 11, None, 29, 14, None, 25, 17, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=695, dist=51.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 25, 17, 19, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=720, dist=52.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 25, 17, 27, 19, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=755, dist=55.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 33, 17, 27, 19, None, 65, 22, None, None, 25, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=780, dist=56.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 27, 19, None, 65, 22, None, 33, 25, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=815, dist=59.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 33, 25, 27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=840, dist=60.92080962648189, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 33, 25, 35, 27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=875, dist=63.74923675122808, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 41, 25, 35, 27, None, None, None, None, None, 33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=900, dist=64.92080962648188, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 40, 25, 35, 27, None, None, None, None, 41, 33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=935, dist=67.74923675122807, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 40, 25, 42, 27, None, None, None, None, 41, 33, 35, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=960, dist=68.92080962648188, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 40, 25, 42, 27, None, None, None, None, 41, 33, 43, 35, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] finished construction phase, Solution(n=66, next=[30, None, 10, 2, 3, 4, 5, 6, 7, 8, 18, 12, 13, 21, 15, 16, 24, 9, 26, 11, None, 29, 14, None, 32, 17, 34, 19, None, 65, 22, None, 40, 25, 42, 27, None, None, None, None, 41, 33, 43, 35, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
