450 1
10.2 83.5 25
168.3 172.1 15
118.5 68.2 5
130.8 62.2 20
192.7 85.9 30
110.4 23.2 30
124.3 21.3 40
140.3 115.8 25
6.4 187.0 25
26.4 99.5 45
131.0 98.0 30
39.6 70.0 15
125.1 173.2 50
171.0 164.4 10
118.9 71.3 10
25.5 26.4 45
76.8 99.1 50
171.7 144.2 25
24.7 102.9 15
8.4 88.3 35
125.0 8.7 15
5.4 62.8 15
40.8 69.6 20
197.8 151.4 30
199.7 141.7 45
38.8 184.1 20
148.0 32.8 20
26.3 189.3 15
99.1 35.1 25
44.1 129.3 30
149.9 116.6 35
164.9 166.0 5
13.5 131.8 15
192.8 18.8 50
5.6 14.4 5
112.4 166.4 35
88.1 18.3 10
128.0 41.5 10
21.7 154.5 15
172.1 46.2 35
15.3 13.5 25
46.2 79.8 45
15.7 2.6 35
133.4 81.6 15
62.6 114.9 50
72.7 107.2 35
90.3 60.3 25
37.9 92.8 30
104.1 189.4 10
96.6 101.0 20
9.0 162.4 40
41.8 120.7 30
74.4 147.3 45
186.2 140.1 5
97.3 45.4 35
172.6 87.6 35
117.6 18.1 5
35.6 76.4 35
138.7 46.0 30
158.1 54.4 40
12.8 120.8 20
162.5 160.1 30
139.4 89.3 25
33.4 74.4 40
174.1 169.3 10
34.1 177.8 15
71.1 175.6 10
109.4 6.6 25
25.0 185.9 10
123.2 108.6 45
189.7 93.4 50
91.5 155.0 15
137.3 139.6 40
36.8 42.3 35
3.7 102.8 15
97.5 82.5 35
140.5 43.4 35
84.9 132.2 15
185.3 195.1 20
117.5 164.3 40
180.1 45.2 30
105.1 128.6 45
188.9 30.9 15
64.7 22.4 30
133.9 94.8 40
80.5 78.4 10
135.6 75.0 40
32.4 112.9 20
115.8 170.3 25
142.4 123.1 5
3.5 100.9 40
94.7 31.3 50
152.8 116.4 40
